Critical.Edition	Ganguli.translation
8.45.1–54	8.64
8.45.55–73	8.65
8.46–48	8.66–68
8.49.1–71	8.69
8.49.72–116	8.70
8.50.1–34	8.71
8.50.35–65	8.72
8.51–61	8.73–83
8.62.1–31	8.84
8.62.32–62	8.85
8.63–67	8.87–91
8.68.1–13	8.92
8.68.14–63	8.94
8.69	8.96
9.1–2	9.1–2
9.3.1–4	9.3
9.3.5–50	9.4
9.4–64	9.5–65
10.1–18	10.1–18
11.1–8	11.1–8
11.9.1–2	11.9
11.9.3–21	11.10
11.10–13	11.11–14
11.14–15	11.15
11.16–27	11.16–27
12.1–22	12.1–22
12.23–24	12.23
12.25–26	12.24–25
12.27–32	12.27–32
12.33–34	12.33
12.35	12.34/35
12.36	12.36
12.37.1	12.36
12.37.2–43	12.37
12.38	12.38
12.39.1–37	12.39
12.39.38–49	12.40
12.40–49	12.41–50
12.50	12.51
12.51	12.51b
12.52–68	12.52–68
12.69–70	12.69
12.71–116	12.70–115
12.117.1–21	12.116
12.117.22–44	12.117
12.118–124	12.118–124
12.125.1–19	12.125
12.125.20–34	12.126
12.126.1–26	12.127
12.126.27–52	12.128
12.127–141	12.129–143
12.142.1–10	12.144
12.142.11–20	12.145
12.142.21–44	12.146
12.143–149	12.147–153
12.150.1–18	12.154
12.150.19–36	12.155
12.151.1–18	12.156
12.151.19–34	12.157
12.152–170	12.158–176
12.171.1–54	12.177
12.171.55–61	12.178
12.172–223	12.179–230
12.224.1–31	12.231
12.224.32–73	12.232
12.224.74–75	12.233
12.225–268	12.233–276
12.269–274	12.278–283
12.275–292	12.287–304
12.293.1–11	12.305
12.293.12–50	12.306
12.294–309	12.307–322
12.310–328	12.324–342
12.329–330	12.343
12.331–340	12.344–353
12.341	12.354
12.342	12.354b
12.343–351	12.355–363
12.352	12.364
12.353	12.365
13.1–13	13.1–13
13.14–15	13.14
13.16.1–11	13.15
13.16.12–75	13.16
13.17–18	13.17–18
13.19–20	13.19
13.21–32	13.20–31
13.33–47	13.33–47
13.48.1–38	13.48
13.48.39–49	13.49
13.49–57	13.49–57
13.58–83	13.59–84
13.84–85	13.85
13.86–92	13.86–92
13.93–95	13.93
13.96–98	13.94–96
13.99	13.58
13.100–111	13.97–108
13.112–125	13.111–124
13.126–127	13.139–140
13.128–129	13.141
13.130–134	13.142–146
13.135	13.149
13.136–146	13.151–161
13.147–148	13.162
13.149–154	13.163–168
14.1–47	14.1–47
14.48.1–13	14.48
14.48.14–29	14.49
14.49–78	14.50–79
14.79–81	14.80
14.82–85	14.81–84
14.86–87	14.85
14.88–91	14.86–89
14.92–93	14.90
14.94	14.91
14.95–96	14.92
15.1	15.1
15.2–3	15.2
15.4–7	15.3
15.8	15.4
15.9–10	15.5
15.11–14	15.6–9
15.15–16	15.10
15.17–25	15.11–19
15.26–27	15.20
15.28–35	15.21–28
15.36–37	15.29
15.38–47	15.30–39
16.1–2	16.1
16.3–9	16.2–8
17.1–3	17.1–3
18.1–5	18.1–5
